dataset,mechanism,target_rate,realized_rate,delta,abs_delta,tolerance,within_tolerance,added_missing_cells,affected_columns
taiwan_bankruptcy,MCAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,0
taiwan_bankruptcy,MCAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,0
taiwan_bankruptcy,MCAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,0
taiwan_bankruptcy,MCAR,0.2,0.2,0.0,0.0,0.01,True,103645,0
taiwan_bankruptcy,MCAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,0
taiwan_bankruptcy,MCAR,0.4,0.4,0.0,0.0,0.01,True,207290,0
taiwan_bankruptcy,MAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,0
taiwan_bankruptcy,MAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,0
taiwan_bankruptcy,MAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,0
taiwan_bankruptcy,MAR,0.2,0.2,0.0,0.0,0.01,True,103645,0
taiwan_bankruptcy,MAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,0
taiwan_bankruptcy,MAR,0.4,0.4,0.0,0.0,0.01,True,207290,0
taiwan_bankruptcy,MNAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,0
taiwan_bankruptcy,MNAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,0
taiwan_bankruptcy,MNAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,0
taiwan_bankruptcy,MNAR,0.2,0.2,0.0,0.0,0.01,True,103645,0
taiwan_bankruptcy,MNAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,0
taiwan_bankruptcy,MNAR,0.4,0.4,0.0,0.0,0.01,True,207290,0
polish_1year,MCAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,0
polish_1year,MCAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,0
polish_1year,MCAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,0
polish_1year,MCAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,0
polish_1year,MCAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,0
polish_1year,MCAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,0
polish_1year,MAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,0
polish_1year,MAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,0
polish_1year,MAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,0
polish_1year,MAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,0
polish_1year,MAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,0
polish_1year,MAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,0
polish_1year,MNAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,0
polish_1year,MNAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,0
polish_1year,MNAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,0
polish_1year,MNAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,0
polish_1year,MNAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,0
polish_1year,MNAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,0
slovak_manufacture_13,MCAR,0.05,0.9262937595129376,0.8762937595129375,0.8762937595129375,0.01,False,0,0
slovak_manufacture_13,MCAR,0.1,0.9262937595129376,0.8262937595129376,0.8262937595129376,0.01,False,0,0
slovak_manufacture_13,MCAR,0.15,0.9262937595129376,0.7762937595129376,0.7762937595129376,0.01,False,0,0
slovak_manufacture_13,MCAR,0.2,0.9262937595129376,0.7262937595129375,0.7262937595129375,0.01,False,0,0
slovak_manufacture_13,MCAR,0.3,0.9262937595129376,0.6262937595129376,0.6262937595129376,0.01,False,0,0
slovak_manufacture_13,MCAR,0.4,0.9262937595129376,0.5262937595129376,0.5262937595129376,0.01,False,0,0
slovak_manufacture_13,MAR,0.05,0.9262937595129376,0.8762937595129375,0.8762937595129375,0.01,False,0,0
slovak_manufacture_13,MAR,0.1,0.9262937595129376,0.8262937595129376,0.8262937595129376,0.01,False,0,0
slovak_manufacture_13,MAR,0.15,0.9262937595129376,0.7762937595129376,0.7762937595129376,0.01,False,0,0
slovak_manufacture_13,MAR,0.2,0.9262937595129376,0.7262937595129375,0.7262937595129375,0.01,False,0,0
slovak_manufacture_13,MAR,0.3,0.9262937595129376,0.6262937595129376,0.6262937595129376,0.01,False,0,0
slovak_manufacture_13,MAR,0.4,0.9262937595129376,0.5262937595129376,0.5262937595129376,0.01,False,0,0
slovak_manufacture_13,MNAR,0.05,0.9262937595129376,0.8762937595129375,0.8762937595129375,0.01,False,0,0
slovak_manufacture_13,MNAR,0.1,0.9262937595129376,0.8262937595129376,0.8262937595129376,0.01,False,0,0
slovak_manufacture_13,MNAR,0.15,0.9262937595129376,0.7762937595129376,0.7762937595129376,0.01,False,0,0
slovak_manufacture_13,MNAR,0.2,0.9262937595129376,0.7262937595129375,0.7262937595129375,0.01,False,0,0
slovak_manufacture_13,MNAR,0.3,0.9262937595129376,0.6262937595129376,0.6262937595129376,0.01,False,0,0
slovak_manufacture_13,MNAR,0.4,0.9262937595129376,0.5262937595129376,0.5262937595129376,0.01,False,0,0
