dataset,missing_mechanism,missing_rate,target_rate,initial_missing_rate,final_missing_rate,absolute_deviation,relative_deviation,tolerance_abs,status,passed,n_train,n_features,error
taiwan_bankruptcy,MCAR,5,0.05,0.0,0.04999951758406098,-4.824159390223737e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MCAR,10,0.1,0.0,0.09999903516812196,-9.648318780447473e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MCAR,15,0.15,0.0,0.15000048241593902,4.824159390293126e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MCAR,20,0.2,0.0,0.2,0.0,0.0,0.01,passed,True,5455,95,
taiwan_bankruptcy,MCAR,30,0.3,0.0,0.30000096483187805,9.648318780586251e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MCAR,40,0.4,0.0,0.4,0.0,0.0,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,5,0.05,0.0,0.04999951758406098,-4.824159390223737e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,10,0.1,0.0,0.09999903516812196,-9.648318780447473e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,15,0.15,0.0,0.15000048241593902,4.824159390293126e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,20,0.2,0.0,0.2,0.0,0.0,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,30,0.3,0.0,0.30000096483187805,9.648318780586251e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MAR,40,0.4,0.0,0.4,0.0,0.0,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,5,0.05,0.0,0.04999951758406098,-4.824159390223737e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,10,0.1,0.0,0.09999903516812196,-9.648318780447473e-07,-9.648318780447473e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,15,0.15,0.0,0.15000048241593902,4.824159390293126e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,20,0.2,0.0,0.2,0.0,0.0,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,30,0.3,0.0,0.30000096483187805,9.648318780586251e-07,3.216106260195417e-06,0.01,passed,True,5455,95,
taiwan_bankruptcy,MNAR,40,0.4,0.0,0.4,0.0,0.0,0.01,passed,True,5455,95,
polish_1year,MCAR,5,0.05,0.012961995196584237,0.04999944404910158,-5.559508984218087e-07,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MCAR,10,0.1,0.012961995196584237,0.09999888809820316,-1.1119017968436173e-06,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MCAR,15,0.15,0.012961995196584237,0.15000111190179682,1.1119017968297396e-06,7.412678645531598e-06,0.01,passed,True,5621,64,
polish_1year,MCAR,20,0.2,0.012961995196584237,0.2000005559508984,5.55950898400992e-07,2.77975449200496e-06,0.01,passed,True,5621,64,
polish_1year,MCAR,30,0.3,0.012961995196584237,0.29999944404910156,-5.559508984287476e-07,-1.8531696614291586e-06,0.01,passed,True,5621,64,
polish_1year,MCAR,40,0.4,0.012961995196584237,0.4000011119017968,1.111901796801984e-06,2.77975449200496e-06,0.01,passed,True,5621,64,
polish_1year,MAR,5,0.05,0.012961995196584237,0.04999944404910158,-5.559508984218087e-07,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MAR,10,0.1,0.012961995196584237,0.09999888809820316,-1.1119017968436173e-06,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MAR,15,0.15,0.012961995196584237,0.15000111190179682,1.1119017968297396e-06,7.412678645531598e-06,0.01,passed,True,5621,64,
polish_1year,MAR,20,0.2,0.012961995196584237,0.2000005559508984,5.55950898400992e-07,2.77975449200496e-06,0.01,passed,True,5621,64,
polish_1year,MAR,30,0.3,0.012961995196584237,0.29999944404910156,-5.559508984287476e-07,-1.8531696614291586e-06,0.01,passed,True,5621,64,
polish_1year,MAR,40,0.4,0.012961995196584237,0.4000011119017968,1.111901796801984e-06,2.77975449200496e-06,0.01,passed,True,5621,64,
polish_1year,MNAR,5,0.05,0.012961995196584237,0.04999944404910158,-5.559508984218087e-07,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MNAR,10,0.1,0.012961995196584237,0.09999888809820316,-1.1119017968436173e-06,-1.1119017968436173e-05,0.01,passed,True,5621,64,
polish_1year,MNAR,15,0.15,0.012961995196584237,0.15000111190179682,1.1119017968297396e-06,7.412678645531598e-06,0.01,passed,True,5621,64,
polish_1year,MNAR,20,0.2,0.012961995196584237,0.2000005559508984,5.55950898400992e-07,2.77975449200496e-06,0.01,passed,True,5621,64,
polish_1year,MNAR,30,0.3,0.012961995196584237,0.29999944404910156,-5.559508984287476e-07,-1.8531696614291586e-06,0.01,passed,True,5621,64,
polish_1year,MNAR,40,0.4,0.012961995196584237,0.4000011119017968,1.111901796801984e-06,2.77975449200496e-06,0.01,passed,True,5621,64,
slovak_manufacture_13,MCAR,5,0.05,0.9262937595129376,0.9262937595129376,0.8762937595129375,17.52587519025875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MCAR,10,0.1,0.9262937595129376,0.9262937595129376,0.8262937595129376,8.262937595129376,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MCAR,15,0.15,0.9262937595129376,0.9262937595129376,0.7762937595129376,5.175291730086251,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MCAR,20,0.2,0.9262937595129376,0.9262937595129376,0.7262937595129375,3.6314687975646875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MCAR,30,0.3,0.9262937595129376,0.9262937595129376,0.6262937595129376,2.0876458650431258,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MCAR,40,0.4,0.9262937595129376,0.9262937595129376,0.5262937595129376,1.3157343987823438,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,5,0.05,0.9262937595129376,0.9262937595129376,0.8762937595129375,17.52587519025875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,10,0.1,0.9262937595129376,0.9262937595129376,0.8262937595129376,8.262937595129376,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,15,0.15,0.9262937595129376,0.9262937595129376,0.7762937595129376,5.175291730086251,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,20,0.2,0.9262937595129376,0.9262937595129376,0.7262937595129375,3.6314687975646875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,30,0.3,0.9262937595129376,0.9262937595129376,0.6262937595129376,2.0876458650431258,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,40,0.4,0.9262937595129376,0.9262937595129376,0.5262937595129376,1.3157343987823438,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,5,0.05,0.9262937595129376,0.9262937595129376,0.8762937595129375,17.52587519025875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,10,0.1,0.9262937595129376,0.9262937595129376,0.8262937595129376,8.262937595129376,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,15,0.15,0.9262937595129376,0.9262937595129376,0.7762937595129376,5.175291730086251,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,20,0.2,0.9262937595129376,0.9262937595129376,0.7262937595129375,3.6314687975646875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,30,0.3,0.9262937595129376,0.9262937595129376,0.6262937595129376,2.0876458650431258,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,40,0.4,0.9262937595129376,0.9262937595129376,0.5262937595129376,1.3157343987823438,0.01,skipped_native_above_target,True,3285,64,
