phase,dataset,missing_mechanism,missing_rate,preprocessing,train_missing_fraction_before,train_missing_fraction_after,test_missing_fraction_after,imputation_time_seconds,n_train,n_test,n_features_after,error
3.3,taiwan_bankruptcy,native,0,mean,0.0,0.0,0.0,0.01542043685913086,5455,1364,95,
3.3,taiwan_bankruptcy,native,0,median,0.0,0.0,0.0,0.01978135108947754,5455,1364,95,
3.3,taiwan_bankruptcy,native,0,knn,0.0,0.0,0.0,0.01405191421508789,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,mean,0.04999951758406098,0.0,0.0,0.01905035972595215,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,median,0.04999951758406098,0.0,0.0,0.023638486862182617,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,knn,0.04999951758406098,0.0,0.0,3.4295663833618164,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,mean,0.09999903516812196,0.0,0.0,0.019210100173950195,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,median,0.09999903516812196,0.0,0.0,0.023169755935668945,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,knn,0.09999903516812196,0.0,0.0,4.97967529296875,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,mean,0.15000048241593902,0.0,0.0,0.018774986267089844,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,median,0.15000048241593902,0.0,0.0,0.023824691772460938,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,knn,0.15000048241593902,0.0,0.0,6.649378538131714,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,mean,0.2,0.0,0.0,0.01907515525817871,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,median,0.2,0.0,0.0,0.022960186004638672,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,knn,0.2,0.0,0.0,8.21641206741333,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,30,mean,0.30000096483187805,0.0,0.0,0.018741369247436523,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,30,median,0.30000096483187805,0.0,0.0,0.023807048797607422,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,30,knn,0.30000096483187805,0.0,0.0,11.94677186012268,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,40,mean,0.4,0.0,0.0,0.018644094467163086,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,40,median,0.4,0.0,0.0,0.03064584732055664,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,40,knn,0.4,0.0,0.0,16.98682951927185,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,5,mean,0.04999951758406098,0.0,0.0,0.018510103225708008,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,5,median,0.04999951758406098,0.0,0.0,0.022872209548950195,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,5,knn,0.04999951758406098,0.0,0.0,3.4353017807006836,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,10,mean,0.09999903516812196,0.0,0.0,0.018022775650024414,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,10,median,0.09999903516812196,0.0,0.0,0.024861812591552734,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,10,knn,0.09999903516812196,0.0,0.0,4.985314846038818,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,15,mean,0.15000048241593902,0.0,0.0,0.018668651580810547,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,15,median,0.15000048241593902,0.0,0.0,0.02297806739807129,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,15,knn,0.15000048241593902,0.0,0.0,6.4816553592681885,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,20,mean,0.2,0.0,0.0,0.018355607986450195,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,20,median,0.2,0.0,0.0,0.02315545082092285,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,20,knn,0.2,0.0,0.0,8.044307947158813,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,30,mean,0.30000096483187805,0.0,0.0,0.019390106201171875,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,30,median,0.30000096483187805,0.0,0.0,0.024448871612548828,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,30,knn,0.30000096483187805,0.0,0.0,11.759336233139038,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,40,mean,0.4,0.0,0.0,0.019014358520507812,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,40,median,0.4,0.0,0.0,0.023162126541137695,5455,1364,95,
3.3,taiwan_bankruptcy,MAR,40,knn,0.4,0.0,0.0,16.453402042388916,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,5,mean,0.04999951758406098,0.0,0.0,0.018384218215942383,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,5,median,0.04999951758406098,0.0,0.0,0.023768186569213867,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,5,knn,0.04999951758406098,0.0,0.0,3.3838391304016113,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,10,mean,0.09999903516812196,0.0,0.0,0.019101858139038086,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,10,median,0.09999903516812196,0.0,0.0,0.02446460723876953,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,10,knn,0.09999903516812196,0.0,0.0,5.014125347137451,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,15,mean,0.15000048241593902,0.0,0.0,0.018695354461669922,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,15,median,0.15000048241593902,0.0,0.0,0.02392268180847168,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,15,knn,0.15000048241593902,0.0,0.0,6.5159759521484375,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,20,mean,0.2,0.0,0.0,0.018395423889160156,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,20,median,0.2,0.0,0.0,0.0236051082611084,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,20,knn,0.2,0.0,0.0,8.026288032531738,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,30,mean,0.30000096483187805,0.0,0.0,0.019950389862060547,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,30,median,0.30000096483187805,0.0,0.0,0.025177001953125,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,30,knn,0.30000096483187805,0.0,0.0,12.380883932113647,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,40,mean,0.4,0.0,0.0,0.019493579864501953,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,40,median,0.4,0.0,0.0,0.02548670768737793,5455,1364,95,
3.3,taiwan_bankruptcy,MNAR,40,knn,0.4,0.0,0.0,19.16726040840149,5455,1364,95,
3.3,polish_1year,native,0,mean,0.012961995196584237,0.0,0.0,0.012541532516479492,5621,1406,64,
3.3,polish_1year,native,0,median,0.012961995196584237,0.0,0.0,0.015793323516845703,5621,1406,64,
3.3,polish_1year,native,0,knn,0.012961995196584237,0.0,0.0,1.134059190750122,5621,1406,64,
3.3,polish_1year,MCAR,5,mean,0.04999944404910158,0.0,0.0,0.014333724975585938,5621,1406,64,
3.3,polish_1year,MCAR,5,median,0.04999944404910158,0.0,0.0,0.017032384872436523,5621,1406,64,
3.3,polish_1year,MCAR,5,knn,0.04999944404910158,0.0,0.0,2.5475361347198486,5621,1406,64,
3.3,polish_1year,MCAR,10,mean,0.09999888809820316,0.0,0.0,0.012854814529418945,5621,1406,64,
3.3,polish_1year,MCAR,10,median,0.09999888809820316,0.0,0.0,0.017993450164794922,5621,1406,64,
3.3,polish_1year,MCAR,10,knn,0.09999888809820316,0.0,0.0,3.7596330642700195,5621,1406,64,
3.3,polish_1year,MCAR,15,mean,0.15000111190179682,0.0,0.0,0.012861490249633789,5621,1406,64,
3.3,polish_1year,MCAR,15,median,0.15000111190179682,0.0,0.0,0.01653909683227539,5621,1406,64,
3.3,polish_1year,MCAR,15,knn,0.15000111190179682,0.0,0.0,4.781105995178223,5621,1406,64,
3.3,polish_1year,MCAR,20,mean,0.2000005559508984,0.0,0.0,0.014513015747070312,5621,1406,64,
3.3,polish_1year,MCAR,20,median,0.2000005559508984,0.0,0.0,0.016629695892333984,5621,1406,64,
3.3,polish_1year,MCAR,20,knn,0.2000005559508984,0.0,0.0,5.768724203109741,5621,1406,64,
3.3,polish_1year,MCAR,30,mean,0.29999944404910156,0.0,0.0,0.014734506607055664,5621,1406,64,
3.3,polish_1year,MCAR,30,median,0.29999944404910156,0.0,0.0,0.016338586807250977,5621,1406,64,
3.3,polish_1year,MCAR,30,knn,0.29999944404910156,0.0,0.0,7.66655707359314,5621,1406,64,
3.3,polish_1year,MCAR,40,mean,0.4000011119017968,0.0,0.0,0.01427459716796875,5621,1406,64,
3.3,polish_1year,MCAR,40,median,0.4000011119017968,0.0,0.0,0.01659703254699707,5621,1406,64,
3.3,polish_1year,MCAR,40,knn,0.4000011119017968,0.0,0.0,9.034260511398315,5621,1406,64,
3.3,polish_1year,MAR,5,mean,0.04999944404910158,0.0,0.0,0.019559621810913086,5621,1406,64,
3.3,polish_1year,MAR,5,median,0.04999944404910158,0.0,0.0,0.02422928810119629,5621,1406,64,
3.3,polish_1year,MAR,5,knn,0.04999944404910158,0.0,0.0,3.429425001144409,5621,1406,64,
3.3,polish_1year,MAR,10,mean,0.09999888809820316,0.0,0.0,0.02055811882019043,5621,1406,64,
3.3,polish_1year,MAR,10,median,0.09999888809820316,0.0,0.0,0.02348947525024414,5621,1406,64,
3.3,polish_1year,MAR,10,knn,0.09999888809820316,0.0,0.0,4.593065977096558,5621,1406,64,
3.3,polish_1year,MAR,15,mean,0.15000111190179682,0.0,0.0,0.013028860092163086,5621,1406,64,
3.3,polish_1year,MAR,15,median,0.15000111190179682,0.0,0.0,0.017365455627441406,5621,1406,64,
3.3,polish_1year,MAR,15,knn,0.15000111190179682,0.0,0.0,5.0022807121276855,5621,1406,64,
3.3,polish_1year,MAR,20,mean,0.2000005559508984,0.0,0.0,0.017046213150024414,5621,1406,64,
3.3,polish_1year,MAR,20,median,0.2000005559508984,0.0,0.0,0.019586801528930664,5621,1406,64,
3.3,polish_1year,MAR,20,knn,0.2000005559508984,0.0,0.0,6.071783781051636,5621,1406,64,
3.3,polish_1year,MAR,30,mean,0.29999944404910156,0.0,0.0,0.013358831405639648,5621,1406,64,
3.3,polish_1year,MAR,30,median,0.29999944404910156,0.0,0.0,0.01715564727783203,5621,1406,64,
3.3,polish_1year,MAR,30,knn,0.29999944404910156,0.0,0.0,8.099204778671265,5621,1406,64,
3.3,polish_1year,MAR,40,mean,0.4000011119017968,0.0,0.0,0.015298604965209961,5621,1406,64,
3.3,polish_1year,MAR,40,median,0.4000011119017968,0.0,0.0,0.01641106605529785,5621,1406,64,
3.3,polish_1year,MAR,40,knn,0.4000011119017968,0.0,0.0,9.0933997631073,5621,1406,64,
3.3,polish_1year,MNAR,5,mean,0.04999944404910158,0.0,0.0,0.014124155044555664,5621,1406,64,
3.3,polish_1year,MNAR,5,median,0.04999944404910158,0.0,0.0,0.017252683639526367,5621,1406,64,
3.3,polish_1year,MNAR,5,knn,0.04999944404910158,0.0,0.0,2.4797399044036865,5621,1406,64,
3.3,polish_1year,MNAR,10,mean,0.09999888809820316,0.0,0.0,0.012671947479248047,5621,1406,64,
3.3,polish_1year,MNAR,10,median,0.09999888809820316,0.0,0.0,0.016202688217163086,5621,1406,64,
3.3,polish_1year,MNAR,10,knn,0.09999888809820316,0.0,0.0,3.76173734664917,5621,1406,64,
3.3,polish_1year,MNAR,15,mean,0.15000111190179682,0.0,0.0,0.01266169548034668,5621,1406,64,
3.3,polish_1year,MNAR,15,median,0.15000111190179682,0.0,0.0,0.015933513641357422,5621,1406,64,
3.3,polish_1year,MNAR,15,knn,0.15000111190179682,0.0,0.0,4.761131763458252,5621,1406,64,
3.3,polish_1year,MNAR,20,mean,0.2000005559508984,0.0,0.0,0.013277530670166016,5621,1406,64,
3.3,polish_1year,MNAR,20,median,0.2000005559508984,0.0,0.0,0.016629695892333984,5621,1406,64,
3.3,polish_1year,MNAR,20,knn,0.2000005559508984,0.0,0.0,5.755160331726074,5621,1406,64,
3.3,polish_1year,MNAR,30,mean,0.29999944404910156,0.0,0.0,0.013115882873535156,5621,1406,64,
3.3,polish_1year,MNAR,30,median,0.29999944404910156,0.0,0.0,0.016780614852905273,5621,1406,64,
3.3,polish_1year,MNAR,30,knn,0.29999944404910156,0.0,0.0,7.784583568572998,5621,1406,64,
3.3,polish_1year,MNAR,40,mean,0.4000011119017968,0.0,0.0,0.013743877410888672,5621,1406,64,
3.3,polish_1year,MNAR,40,median,0.4000011119017968,0.0,0.0,0.016604900360107422,5621,1406,64,
3.3,polish_1year,MNAR,40,knn,0.4000011119017968,0.0,0.0,9.13408088684082,5621,1406,64,
3.3,slovak_manufacture_13,native,0,mean,0.9262937595129376,0.0,0.0,0.011854171752929688,3285,822,64,
3.3,slovak_manufacture_13,native,0,median,0.9262937595129376,0.0,0.0,0.012666463851928711,3285,822,64,
3.3,slovak_manufacture_13,native,0,knn,0.9262937595129376,0.0,0.0,2.01652193069458,3285,822,64,
3.3,slovak_manufacture_13,MCAR,5,mean,0.9262937595129376,0.0,0.0,0.010537862777709961,3285,822,64,
3.3,slovak_manufacture_13,MCAR,5,median,0.9262937595129376,0.0,0.0,0.012505769729614258,3285,822,64,
3.3,slovak_manufacture_13,MCAR,5,knn,0.9262937595129376,0.0,0.0,1.946718454360962,3285,822,64,
3.3,slovak_manufacture_13,MCAR,10,mean,0.9262937595129376,0.0,0.0,0.0124053955078125,3285,822,64,
3.3,slovak_manufacture_13,MCAR,10,median,0.9262937595129376,0.0,0.0,0.012605905532836914,3285,822,64,
3.3,slovak_manufacture_13,MCAR,10,knn,0.9262937595129376,0.0,0.0,1.9731907844543457,3285,822,64,
3.3,slovak_manufacture_13,MCAR,15,mean,0.9262937595129376,0.0,0.0,0.010857820510864258,3285,822,64,
3.3,slovak_manufacture_13,MCAR,15,median,0.9262937595129376,0.0,0.0,0.014392375946044922,3285,822,64,
3.3,slovak_manufacture_13,MCAR,15,knn,0.9262937595129376,0.0,0.0,1.9708189964294434,3285,822,64,
3.3,slovak_manufacture_13,MCAR,20,mean,0.9262937595129376,0.0,0.0,0.010892391204833984,3285,822,64,
3.3,slovak_manufacture_13,MCAR,20,median,0.9262937595129376,0.0,0.0,0.013420343399047852,3285,822,64,
3.3,slovak_manufacture_13,MCAR,20,knn,0.9262937595129376,0.0,0.0,1.9785237312316895,3285,822,64,
3.3,slovak_manufacture_13,MCAR,30,mean,0.9262937595129376,0.0,0.0,0.010966300964355469,3285,822,64,
3.3,slovak_manufacture_13,MCAR,30,median,0.9262937595129376,0.0,0.0,0.01284646987915039,3285,822,64,
3.3,slovak_manufacture_13,MCAR,30,knn,0.9262937595129376,0.0,0.0,1.9543871879577637,3285,822,64,
3.3,slovak_manufacture_13,MCAR,40,mean,0.9262937595129376,0.0,0.0,0.010703802108764648,3285,822,64,
3.3,slovak_manufacture_13,MCAR,40,median,0.9262937595129376,0.0,0.0,0.011993408203125,3285,822,64,
3.3,slovak_manufacture_13,MCAR,40,knn,0.9262937595129376,0.0,0.0,1.9808666706085205,3285,822,64,
3.3,slovak_manufacture_13,MAR,5,mean,0.9262937595129376,0.0,0.0,0.013154745101928711,3285,822,64,
3.3,slovak_manufacture_13,MAR,5,median,0.9262937595129376,0.0,0.0,0.013614654541015625,3285,822,64,
3.3,slovak_manufacture_13,MAR,5,knn,0.9262937595129376,0.0,0.0,1.9525988101959229,3285,822,64,
3.3,slovak_manufacture_13,MAR,10,mean,0.9262937595129376,0.0,0.0,0.011200666427612305,3285,822,64,
3.3,slovak_manufacture_13,MAR,10,median,0.9262937595129376,0.0,0.0,0.013290882110595703,3285,822,64,
3.3,slovak_manufacture_13,MAR,10,knn,0.9262937595129376,0.0,0.0,1.9800021648406982,3285,822,64,
3.3,slovak_manufacture_13,MAR,15,mean,0.9262937595129376,0.0,0.0,0.011008739471435547,3285,822,64,
3.3,slovak_manufacture_13,MAR,15,median,0.9262937595129376,0.0,0.0,0.012781381607055664,3285,822,64,
3.3,slovak_manufacture_13,MAR,15,knn,0.9262937595129376,0.0,0.0,1.96388578414917,3285,822,64,
3.3,slovak_manufacture_13,MAR,20,mean,0.9262937595129376,0.0,0.0,0.011737585067749023,3285,822,64,
3.3,slovak_manufacture_13,MAR,20,median,0.9262937595129376,0.0,0.0,0.013832330703735352,3285,822,64,
3.3,slovak_manufacture_13,MAR,20,knn,0.9262937595129376,0.0,0.0,1.9922664165496826,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,mean,0.9262937595129376,0.0,0.0,0.011182546615600586,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,median,0.9262937595129376,0.0,0.0,0.01232767105102539,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,knn,0.9262937595129376,0.0,0.0,1.982990026473999,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,mean,0.9262937595129376,0.0,0.0,0.01157999038696289,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,median,0.9262937595129376,0.0,0.0,0.012904882431030273,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,knn,0.9262937595129376,0.0,0.0,1.9779078960418701,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,mean,0.9262937595129376,0.0,0.0,0.011192083358764648,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,median,0.9262937595129376,0.0,0.0,0.012300252914428711,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,knn,0.9262937595129376,0.0,0.0,1.957495927810669,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,mean,0.9262937595129376,0.0,0.0,0.01304173469543457,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,median,0.9262937595129376,0.0,0.0,0.01323246955871582,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,knn,0.9262937595129376,0.0,0.0,1.9611456394195557,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,mean,0.9262937595129376,0.0,0.0,0.011071205139160156,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,median,0.9262937595129376,0.0,0.0,0.012988567352294922,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,knn,0.9262937595129376,0.0,0.0,1.9600675106048584,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,mean,0.9262937595129376,0.0,0.0,0.010678529739379883,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,median,0.9262937595129376,0.0,0.0,0.012732267379760742,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,knn,0.9262937595129376,0.0,0.0,1.9509289264678955,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,mean,0.9262937595129376,0.0,0.0,0.01206207275390625,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,median,0.9262937595129376,0.0,0.0,0.012513399124145508,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,knn,0.9262937595129376,0.0,0.0,1.959242582321167,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,mean,0.9262937595129376,0.0,0.0,0.010699272155761719,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,median,0.9262937595129376,0.0,0.0,0.012572765350341797,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,knn,0.9262937595129376,0.0,0.0,2.0138463973999023,3285,822,64,
